tconst	averageRating	numVotes
tt11963006	8.7	46
tt11968092	6.1	42
tt11976532	7.3	1299
tt11981274	3.1	1335
tt11992694	7.2	253
tt11995784	3.1	1174
tt11995882	6.3	174
tt12000428	5.3	47
tt12004038	6.3	11638
tt12010446	4.4	78
tt12015076	5.8	656
tt12015102	8.7	16112
tt12034384	3.2	108
tt12036922	5.0	71
tt12048234	6.6	1054
tt12048238	6.8	65
tt12054842	8.9	15
tt12060242	6.7	24
tt12062432	6.5	1022
tt12070418	7.8	13
tt12071756	6.7	6
tt12071786	8.5	569
tt12089564	4.9	308
tt12121582	6.5	288
tt12126628	7.3	420
tt12132832	5.6	602
tt12138298	4.5	114
tt12138574	7.1	810
tt12141112	6.7	25026
tt12144262	7.2	5
tt12146654	2.7	107
tt12146688	2.5	144
tt12147800	6.3	748
tt12156974	7.3	337
tt12176660	8.7	9
tt12186098	5.1	155
tt12194006	7.2	606
tt12215252	6.4	693
tt12215472	8.3	92
tt12216202	7.1	78
tt12252488	7.4	16
tt12253164	7.0	113
tt12256338	4.4	28
tt12262116	7.8	152
tt12262324	6.0	53
tt12264966	6.5	746
tt12267750	8.2	29
tt12275742	3.8	120
tt12280196	6.1	87
tt12283036	4.3	1054
tt12292206	4.7	3908
tt12292314	4.8	253
tt12298140	5.5	938
tt12311620	6.8	296
tt12338246	4.4	610
tt12344970	7.0	670
tt12358208	6.7	49
tt12359080	2.9	445
tt12373754	8.4	9
tt12384428	7.5	140
tt12386022	5.0	23
tt12390572	5.2	1810
tt12407132	8.0	25
tt12412888	6.5	54841
tt12415670	7.2	40
tt12416794	6.3	100
tt12418202	6.8	6
tt12422308	5.7	9256
tt12429066	6.2	39
tt12432558	6.2	27
tt12440964	3.1	319
tt12445782	4.0	46
tt12459328	6.0	19
tt12472554	7.6	14660
tt12473774	5.6	82
tt12476270	5.7	2321
tt12477480	7.6	2057
tt12479584	4.8	410
tt12482874	4.8	11
tt12484724	7.3	1800
tt12495406	9.3	16
tt12502288	6.2	251
tt12519030	6.3	5108
tt12530402	8.3	6
tt12532368	6.3	1375
tt12545566	5.3	1061
tt12550376	4.4	1873
tt12553778	7.8	43
tt12572084	4.8	803
tt12578564	7.3	2631
tt12579884	4.1	16
tt12580324	5.0	245
tt12580734	5.6	19
tt12585076	5.5	4706
tt12593682	7.5	4822
tt12595378	8.5	1101
tt12608168	8.8	13
tt12624588	6.1	60
tt12631654	6.9	1260
tt12631784	5.5	158
tt12638598	5.2	31
tt12655436	5.8	208
tt12663250	6.2	3211
tt12663772	6.6	404
tt12676006	5.5	4189
tt12684068	3.0	290
tt12689248	3.2	1012
tt12691830	7.3	173
tt12698684	5.4	40
tt12708382	4.9	547
tt12735282	4.0	1173
tt12744088	7.8	29
tt12747222	7.2	130
tt12749438	8.5	104
tt12752498	7.4	18
tt12754776	4.7	110
tt12762096	8.0	34
tt12762788	8.8	21
tt12764628	4.4	824
tt12769412	7.4	132
tt12773826	4.2	189
tt12774526	3.7	537
tt12777234	4.0	28
tt12783826	8.2	13
tt12788488	7.0	69
tt12790908	3.3	249
tt12794338	5.9	2035
tt12805704	4.5	542
tt12805870	8.5	35
tt12810902	3.1	132
tt12819094	6.2	121
tt12822708	8.1	261
tt12825466	7.7	21
tt12826598	7.8	10
tt12836378	7.9	11
tt12837582	4.2	68
tt12845544	6.5	55
tt12847680	5.5	319
tt12850216	8.0	20
tt12857724	4.2	8
tt12885338	8.4	359
tt12907932	2.5	194
tt12908508	8.4	1633
tt12909482	9.3	293
tt12915238	8.8	67
tt12915842	6.8	1253
tt12935690	5.7	41
tt12953548	6.4	1534
tt12953750	7.4	1086
tt12961740	7.0	20
