tconst	averageRating	numVotes
tt11847972	6.4	395
tt11851548	6.2	385
tt11851698	8.3	10
tt11852810	3.7	472
tt11853944	4.8	123
tt11854326	6.4	54
tt11856246	6.8	1132
tt11857966	3.6	9
tt11859542	6.2	7228
tt11866324	6.5	857
tt11866940	8.2	1211
tt11871764	5.8	1155
tt11873440	3.1	25849
tt11879338	7.4	11
tt11879610	5.6	5
tt11891698	6.2	99
tt11892056	5.6	9
tt11893274	7.4	10534
tt11894904	8.2	1167
tt11897478	6.8	46
tt11897608	5.7	160
tt11897636	5.8	151
tt11897688	6.8	633
tt11898996	7.1	42
tt11899030	7.4	9114
tt11915042	8.7	24
tt11915106	3.1	129
tt11916334	7.0	6
tt11917930	4.9	9
tt11919160	5.0	181
tt11921114	8.7	24
tt11921588	8.2	1646
tt11924110	5.6	145
tt11924122	8.9	103
tt11929078	3.6	8
tt11930126	7.6	1213
tt11932562	5.0	47
tt11934038	4.8	6
tt11934846	7.1	17107
tt11939970	2.4	199
tt11940240	6.9	107
tt11946138	7.6	35
tt11947158	6.7	8043
tt11947288	7.0	408
tt11947418	7.7	7787
tt11952606	6.1	30
tt11952776	7.7	52
tt11953194	6.0	3339
tt11958610	6.2	5030
tt11958674	4.6	343
tt11959452	3.2	73
tt11960634	9.5	456
tt11963006	8.7	46
tt11968092	6.1	42
tt11976532	7.3	1299
tt11981274	3.1	1335
tt11987198	7.1	623
tt11992694	7.2	253
tt11995784	3.1	1174
tt11995882	6.3	174
tt11997646	6.7	4709
tt12000428	5.3	47
tt12004038	6.3	11638
tt12010446	4.4	78
tt12015076	5.8	656
tt12015102	8.7	16112
tt12026710	6.1	6904
tt12027896	5.8	640
tt12034384	3.2	108
tt12036922	5.0	71
tt12048234	6.6	1054
tt12048238	6.8	65
tt12048470	7.0	429
tt12054842	8.9	15
tt12060242	6.7	24
tt12062432	6.5	1022
tt12070418	7.8	13
tt12071756	6.7	6
tt12071786	8.5	569
tt12075908	8.9	14
